size,mines,degree of completion,win_steps,win_rate,games_won,games_lost,type
8,1,0.93,60,0.64,64,36,bfs
8,1,0.98,36,0.98,98,2,csp
8,1,0.98,62,0.98,98,2,rl
8,2,0.84,61,0.39,39,61,bfs
8,2,0.9,45,0.86,86,14,csp
8,2,0.97,61,0.87,87,13,rl
8,3,0.77,60,0.21,21,79,bfs
8,3,0.91,49,0.82,82,18,csp
8,3,0.9,60,0.67,67,33,rl
10,5,0.65,94,0.07,7,93,bfs
10,5,0.92,83,0.75,75,25,csp
10,5,0.91,95,0.47,47,53,rl
10,7,0.48,0,0.0,0,100,bfs
10,7,0.87,85,0.55,55,45,csp
10,7,0.72,93,0.11,11,89,rl
10,10,0.3,90,0.01,1,99,bfs
10,10,0.63,85,0.22,22,78,csp
10,10,0.56,90,0.01,1,99,rl
16,20,0.42,0,0.0,0,100,bfs
16,20,0.75,224,0.39,39,61,csp
16,20,0.69,0,0.0,0,100,rl
16,30,0.11,0,0.0,0,100,bfs
16,30,0.44,224,0.02,2,98,csp
16,30,0.28,0,0.0,0,100,rl
16,40,0.06,0,0.0,0,100,bfs
16,40,0.22,0,0.0,0,100,csp
16,40,0.13,0,0.0,0,100,rl

